20 468.53494500
25 176.94835500
30 67.93410500
35 21.01263000
40 8.01722000
45 7.89000500
50 6.01038000
55 4.64314500
60 3.52455000
65 2.98808000
70 3.18794500
75 2.63685000
80 2.31541500
85 2.10473000
90 1.69050500
95 1.65540000
100 1.68554000
105 1.44526000
110 1.30798000
115 1.28097500
120 1.12838500
125 1.00192000
130 1.01478000
135 .98790500
140 .85049000
145 .77035000
150 .75069000
155 .70552000
160 .61130000
165 .55436000
170 .56926000
175 .54402000
180 .47932500
185 .42449500
190 .40810000
195 .39592500
200 .34823500
205 .31082000
210 .29014000
215 .29347000
220 .27735000
225 .23639500
230 .19456000
235 .18245000
240 .17673500
245 .15939000
250 .12823000
255 .09932000
260 .09333500
265 .09489500
270 .08626000
275 .06285500
280 .03755000
285 .02646000
290 .02333000
295 .01666500
300 0
