20 1085.22302500
25 562.29640000
30 277.89089500
35 136.89149500
40 67.33906000
45 32.31637500
50 16.91541000
55 9.58160000
60 6.10467000
65 4.20681000
70 3.11917000
75 2.41290000
80 1.90132500
85 1.48376500
90 1.09036000
95 .77749500
100 .54341000
105 .35177500
110 .20905000
115 .12530500
120 .07115500
125 .04394500
130 .03571000
135 .03183500
140 .03156500
145 .03381000
150 .03061000
155 .02612000
160 .02619000
165 .01863500
170 .01721000
175 .01258500
180 .00646000
185 .00823000
190 .00136000
195 .00068000
200 0
